Nid,Original ID,Name,Project acronym,Visual,Project description,Results,Coordinators,Partners,Project address(es),Project postal code(s),Project town(s),Project country(ies),Project location latitude,Project location longitude,Link to a video,Timeframe start,Timeframe end,Project webpage,Related links,EU Budget MFF heading,Programme name,Funding area,EC’s priorities,EU Budget contribution,Total project budget,Author,Language
29,,Sparking interest in science and engineering,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/blobservlet.jpg,"<p>A project running in Wales, UK that focuses on enthusing students about science and engineering through practical, exciting, hands-on work-place experiences. Students from Welsh schools & colleges got the chance to design a Formula One car by harnessing digital manufacturing technologies. Their drawings were converted to models which were tested against other teams at race tracks. Other students were paired up with staff from manufacturing companies to work on real engineering projects.</p>",About 55% of the 7000 students taking part in the project said that they were more likely to study technical subjects as a result of their experiences gained during the project.,Engineering Education Scheme Wales Ltd (EESW),,,,Waterton,UK,51.4955153,-3.5487207,,1262300400 to 1420066800,1262300400 to 1420066800,http://www.stemcymru.org.uk/,,Smart and Inclusive Growth: Competitiveness for growth and jobs,Other cohesion for growth and employment actions & programmes,Education & training,"Jobs, Growth and Investment",2300000,3100000,DG BUDG,English
31,,The INOV Contacto Programme,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/inov.jpg,"<p>INOV Contacto provides Portuguese young workers with the chance to sharpen their skills and experiences abroad, in internships than run for 6 months. The programme also benefits the country as a whole by raising its profile internationally and by helping Portuguese companies compete in the global economy.</p>","Since 1997, the programme has sent about 5 000 young people abroad to work as interns in multinational companies. Those taking part in the training scheme are young, qualified professionals who have recently graduated from university.","AICEP Portugal, Portugal",,,1050-051,Lisbon,PT,38.7384575,-9.1481205,,852073200 to 1420066800,852073200 to 1420066800,http://www.inovcontacto.pt,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=239"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Competitiveness;Education & training;Business,"Jobs, Growth and Investment",50750000,72500000,DG EMPL,English
34,,Graz-jobs MIGRA,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/shutterstock_graz.jpg,"<p>In the Austrian city of Graz, six organisations which promote employment came together to offer better opportunities to the long-term unemployed, asylum-seekers and immigrants. Participants follow a three-step procedure, starting with training in eight different areas choosen by them. In the next step, participants are given work placements in companies where they can evaluate their suitability with the areas they have chosen.The final step is a temporary job of up to 12 months, where they can demonstrate their new skills.</p>","The project had 60 participants. For employers, the project has developed an integration manual to help them better work with the target group and develop win-win approaches for both employer and employee.","ARGE Graz_Jobs i.V. Bicycle, Austria",,Graz,8042,Graz,AT,47.0505635,15.4828066,,1262300400 to 1293836400,1262300400 to 1293836400,http://www.graz-jobs.at,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=372"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",460230,1000500,DG EMPL,English
35,,LEA Production School,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/getting_youngsters_ready_for_work_-_and_life.jpg,"<p>A project in Austria's Tyrol region is helping young people aged between 15 and 19 find their place in the job market and wider society by offering a combination of vocational and social skills training. The LEA Production School seeks to bridge the gap between compulsory education and adult life. It provides training options in a number of areas. Internships in local companies give participants an understanding of working life. Helping youngsters from migrant backgrounds is a particular focus, therefore LEA also provides the teaching of German as a foreign language.</p>","LEA supports young people's cultural integration into wider society by building self-esteem and sense of personal responsibility. The goal is to offer participants the chance to develop as persons, while embracing a positive attitude towards work. In 2013, 23 young people found jobs, undertook training/apprenticeships, or stayed on at school for further study thanks to LEA interventions.","Kaos Education Service, Austria",,Innsbruck,A6020,Innsbruck,AT,47.2692124,11.4041024,,1262300400 to 1388530800,1262300400 to 1388530800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">ESF</a>;<a href=""http://www.kaos4all.com"">Kaos Education Service</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1301"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",345713,400000,DG EMPL,English
36,,WIJ! Project,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/skill_builders.jpg,"<p>This project has given 3 800 unqualified school-leavers the chance to obtain the skills and self-confidence they need to get good jobs. WIJ! offered young people a taste of working life and an idea of what employers want through a mix of counselling and internships. Firstly, participants entered into discussions with the project team in order to gauge what they were capable. Then each individual agreed on a personalised plan which outlined their next steps into training or the labour market. The second phase saw participants undertake work experience.</p>",The project has helped over 3 800 young jobseekers make important changes in their lives so that they are fit for work. Those taking part obtained vital new skills and experience.,"SBS Skill Builders, Belgium",,Aalst,9300,Aalst,BE,50.9378056,4.0321585,,1356994800 to 1420066800,1356994800 to 1420066800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1507"">ESF project page</a>;<a href=""http://www.skillbuilders.be/nl/home-1.htm"">Skill Builders</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",3119996,,DG EMPL,English
101,,Making school more attractive for young people,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/bulgaria.jpg,"<p>'Making school more attractive for young people' aims to reduce the number of early school leavers by improving employment opportunities and helping social integration among the young. The local high school in the town of Ihtiman is one among 1 880 Bulgarian schools participating in the project. It is encouraging participation in extra-curricular activities designed to develop the personal, intellectual and physical abilities of the students – building team-working capacities, improving self-expression and teaching presentation skills.</p>",The operation 'Making school more attractive for young people' started in 2008 and was designed in three phases. It was a very popular and successful project that reached over 330 000 young people across Bulgaria.,"Ministry of Education, Youth and Science, Bulgaria",,Ihtiman,2050,Ihtiman,BG,42.4382418,23.8161718,,1199142000 to 1388530800,1199142000 to 1388530800,http://uspeh.mon.bg/?m=2,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=303"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Education & training,"Jobs, Growth and Investment",45479121,53504848,DG EMPL,English
102,,ˈI Canˈ and ˈI Can Do Betterˈ,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/i_can_do_better_0.jpg,"<p>As employers in Bulgaria are often hesitant to invest in training their staff, the National Employment Agency launched the 'I Can' project to motivate workers themselves to take more control of their careers and get involved in lifelong learning. Through the 'I Can' project, any employed person could apply and receive a voucher for key-competences training and/or a course leading to professional qualifications – according to their wishes and needs.</p>","Training for professional qualifications was delivered by over 540 education centres, and key-competence teaching took place in more than 720 training organisations throughout the country. In the first two phases of the 'I Can' project, 140 000 employees took part, while in the follow-on 'I Can Do Better' project, a further 81 000 participants were expected by the end of 2013. In total, more than 221 000 employees participated in the project.","National Employment Agency, Bulgaria",,Sofia,1000,Sofia,BG,42.6978209,23.3245641,,1230764400 to 1356994800,1230764400 to 1356994800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=296"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",60844000,71581000,DG EMPL,English
103,,B.hive: Joined civil society organisations for human resource development,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/zadar.jpg,"<p>33 civil society organisations (CSOs) that promote employment, growth and the development of human resources in Zadar, Croatia are receiving capacity-building support from an ESF-backed initiative. The project aims to promote the benefits of volunteering by disseminating information about its value to both individuals and CSOs. The project has established a body called the CSO Alliance, which provides its members with a variety of services including accounting, web design, public relations and project management. 33 CSOs and 60 of their members are participating in the project.</p>",,"EKO-Zadar, Croatia",,Zadar,,Zadar,HR,44.119371,15.2313648,,1356994800 to 1420066800,1356994800 to 1420066800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1325"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Citizens and social dialogue,"Jobs, Growth and Investment",175968,187358,DG EMPL,English
104,,Public Open College Algebra,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/unemployed.jpg,"<p>The Public Open College Algebra project aimed to improve access to employment and self-employment amongst highly educated, long-term unemployed persons in Croatia. It succeeded by stimulating entrepreneurship and teaching personal skills. The project also strived to improve the IT skills that participants would need to develop mobile applications.</p>",Fifty unemployed and highly educated persons participated in the training. They hailed from Osijek-Baranja and Vukovar-Srijem counties.,"Public Open College Algebra, Croatia",Croatian Ministry of Labour and Pension System,Osijek-Baranja and Vukovar-Srijem,,Osijek-Baranja,HR,45.4444216,18.575985,,1325372400 to 1388530800,1325372400 to 1388530800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1041"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",148632,160023,DG EMPL,English
105,,In-service training of secondary and vocational education teachers,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/cyprus1.jpg,"<p>Teachers need to continuously hone their knowledge and skills. The in-service training project aims at providing Cypriot secondary and vocational teachers with on-going training. The project aims to develop and restructure the framework and mechanisms of continuing education and professional development for secondary and vocational school teachers in Cyprus. This is achieved through the provision of training programmes based on the current international literature on professional development, on the national reform of the Cyprus educational system and on a training needs analysis.</p>","Over the past three years, a total of 330 teachers have attended this part of the programme. Afternoon seminars are another way of helping teachers to update their skills. About 750 secondary education teachers attend the seminars every year. As of summer 2015, 70% of all secondary school teachers have been trained on the content and methodologies of the new curricula.","Cyprus Pedagogical Institute, Cyprus",,Nicosia,,Nicosia,CY,35.1855659,33.3822764,,1262300400 to 1420066800,1262300400 to 1420066800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1261"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",12816706,15078478,DG EMPL,English
